,agemid,low95,median,up95,,Prop made by C
1,37,0.000900211,0.004488063,0.051598284,,14.65394882
2,41,0.000900211,0.004488063,0.051598284,,14.65394882
3,53,0.000900211,0.004488063,0.051598284,,14.65394882
4,57,0.000900211,0.004488063,0.051598284,,14.65394882
5,59,0.000900211,0.004488063,0.051598284,,14.65394882
6,82,0.000900211,0.004488063,0.051598284,,14.65394882
7,85,0.000900211,0.004488063,0.051598284,,14.65394882
8,94,0.00137905,0.008838372,0.084581345,,7.441171395
9,97,0.00137905,0.008838372,0.084581345,,7.441171395
10,100,0.00137905,0.008838372,0.084581345,,7.441171395
11,102,0.00137905,0.008838372,0.084581345,,7.441171395
12,106,0.00137905,0.008838372,0.084581345,,7.441171395
13,110,0.00137905,0.008838372,0.084581345,,7.441171395
14,137,0.00137905,0.008838372,0.084581345,,7.441171395
15,140,0.00137905,0.008838372,0.084581345,,7.441171395
16,142,0.00137905,0.008838372,0.084581345,,7.441171395
17,150,0.00137905,0.008838372,0.084581345,,7.441171395
18,155,0.00137905,0.008838372,0.084581345,,7.441171395
19,158,0.00137905,0.008838372,0.084581345,,7.441171395
20,159,0.00137905,0.008838372,0.084581345,,7.441171395
21,196,0.000741061,0.004990985,0.044413535,,
22,202,0.000741061,0.004990985,0.044413535,,
23,208,0.000741061,0.004990985,0.044413535,,
24,214,0.000741061,0.004990985,0.044413535,,
25,215,0.000741061,0.004990985,0.044413535,,
26,216,0.000741061,0.004990985,0.044413535,,
27,226,0.000741061,0.004990985,0.044413535,,
28,257,0.000741061,0.004990985,0.044413535,,
29,258,0.000741061,0.004990985,0.044413535,,
30,264,0.000741061,0.004990985,0.044413535,,
31,267,0.000741061,0.004990985,0.044413535,,
32,273,0.000741061,0.004990985,0.044413535,,
33,276,0.000210242,0.001163051,0.003926742,,
34,297,0.000210242,0.001163051,0.003926742,,
35,321,0.000210242,0.001163051,0.003926742,,
36,325,0.000210242,0.001163051,0.003926742,,
37,328,0.000210242,0.001163051,0.003926742,,
38,329,0.000210242,0.001163051,0.003926742,,
39,337,0.000210242,0.001163051,0.003926742,,
40,338,0.000210242,0.001163051,0.003926742,,
41,359,0.000210242,0.001163051,0.003926742,,
42,363,0.000210242,0.001163051,0.003926742,,
43,370,0.000988912,0.004710256,0.051709443,,
44,372,0.000988912,0.004710256,0.051709443,,
45,375,0.000988912,0.004710256,0.051709443,,
46,376,0.000988912,0.004710256,0.051709443,,
47,407,0.000988912,0.004710256,0.051709443,,
48,428,0.000988912,0.004710256,0.051709443,,
49,444,0.000988912,0.004710256,0.051709443,,
50,455,0.000988912,0.004710256,0.051709443,,
51,462,0.001491634,0.009034265,0.084925205,,
52,464,0.001491634,0.009034265,0.084925205,,
53,507,0.001491634,0.009034265,0.084925205,,
54,509,0.001491634,0.009034265,0.084925205,,
55,510,0.001491634,0.009034265,0.084925205,,
56,524,0.001491634,0.009034265,0.084925205,,
57,530,0.001491634,0.009034265,0.084925205,,
58,531,0.001491634,0.009034265,0.084925205,,
59,534,0.001491634,0.009034265,0.084925205,,
60,554,0.000878729,0.005236425,0.044430925,,
61,555,0.000878729,0.005236425,0.044430925,,
62,573,0.000878729,0.005236425,0.044430925,,
63,574,0.000878729,0.005236425,0.044430925,,
64,585,0.000878729,0.005236425,0.044430925,,
65,586,0.000878729,0.005236425,0.044430925,,
66,588,0.000878729,0.005236425,0.044430925,,
67,626,0.000878729,0.005236425,0.044430925,,
68,627,0.000878729,0.005236425,0.044430925,,
69,629,0.000878729,0.005236425,0.044430925,,
70,632,0.000878729,0.005236425,0.044430925,,
71,644,0.000251878,0.001341484,0.004481749,,
72,653,0.000251878,0.001341484,0.004481749,,
73,654,0.000251878,0.001341484,0.004481749,,
74,680,0.000251878,0.001341484,0.004481749,,
75,693,0.000251878,0.001341484,0.004481749,,
76,713,0.000251878,0.001341484,0.004481749,,
77,715,0.000251878,0.001341484,0.004481749,,
78,728,0.000251878,0.001341484,0.004481749,,
79,749,0.001062269,0.004966209,0.051819345,,
80,760,0.001062269,0.004966209,0.051819345,,
81,772,0.001062269,0.004966209,0.051819345,,
82,825,0.001655874,0.009233558,0.085269065,,
83,837,0.001655874,0.009233558,0.085269065,,
84,867,0.001655874,0.009233558,0.085269065,,
85,884,0.001655874,0.009233558,0.085269065,,
86,967,0.000996827,0.005842496,0.044464246,,
87,984,0.000996827,0.005842496,0.044464246,,
88,1010,0.000295876,0.001677796,0.005804521,,
89,1013,0.000295876,0.001677796,0.005804521,,
90,1014,0.000295876,0.001677796,0.005804521,,
91,1042,0.000295876,0.001677796,0.005804521,,
92,1047,0.000295876,0.001677796,0.005804521,,
93,1061,0.000295876,0.001677796,0.005804521,,
94,1120,0.001159029,0.005698321,0.051934038,,
95,1141,0.001159029,0.005698321,0.051934038,,
96,1148,0.001159029,0.005698321,0.051934038,,
97,1158,0.001159029,0.005698321,0.051934038,,
98,1176,0.001159029,0.005698321,0.051934038,,
99,1202,0.001836437,0.010051527,0.085711843,,
100,1230,0.001836437,0.010051527,0.085711843,,
101,1242,0.001836437,0.010051527,0.085711843,,
102,1334,0.001341644,0.00723047,0.045774479,,
103,1340,0.001341644,0.00723047,0.045774479,,
104,1377,0.000413123,0.002643488,0.009359013,,
105,1389,0.000413123,0.002643488,0.009359013,,
106,1414,0.000413123,0.002643488,0.009359013,,
107,1450,0.000413123,0.002643488,0.009359013,,
108,1523,0.001332858,0.006405685,0.051957894,,
109,1526,0.001332858,0.006405685,0.051957894,,
110,1537,0.001332858,0.006405685,0.051957894,,
111,1541,0.001332858,0.006405685,0.051957894,,
112,1551,0.001332858,0.006405685,0.051957894,,
113,1564,0.002030482,0.010877103,0.08593616,,
114,1592,0.002030482,0.010877103,0.08593616,,
115,1667,0.001325707,0.007150283,0.045732295,,
116,1721,0.001325707,0.007150283,0.045732295,,
117,1755,0.000405044,0.002563655,0.009013956,,
118,1760,0.000405044,0.002563655,0.009013956,,
119,1806,0.000405044,0.002563655,0.009013956,,
120,1823,0.000405044,0.002563655,0.009013956,,
121,1841,0.001299227,0.006344438,0.051953918,,
122,1848,0.001299227,0.006344438,0.051953918,,
