,agemid,low95,median,up95,,Prop made up C
1,37,0.000878729,0.005236425,0.044430925,,12.55968328
2,41,0.000878729,0.005236425,0.044430925,,12.55968328
3,53,0.000878729,0.005236425,0.044430925,,12.55968328
4,57,0.000878729,0.005236425,0.044430925,,12.55968328
5,59,0.000878729,0.005236425,0.044430925,,12.55968328
6,82,0.000878729,0.005236425,0.044430925,,12.55968328
7,85,0.000878729,0.005236425,0.044430925,,12.55968328
8,94,0.000251878,0.001341484,0.004481749,,49.02618259
9,97,0.000251878,0.001341484,0.004481749,,49.02618259
10,100,0.000251878,0.001341484,0.004481749,,49.02618259
11,102,0.000251878,0.001341484,0.004481749,,49.02618259
12,106,0.000251878,0.001341484,0.004481749,,49.02618259
13,110,0.000251878,0.001341484,0.004481749,,49.02618259
14,137,0.000251878,0.001341484,0.004481749,,49.02618259
15,140,0.000251878,0.001341484,0.004481749,,49.02618259
16,142,0.000251878,0.001341484,0.004481749,,49.02618259
17,150,0.000251878,0.001341484,0.004481749,,49.02618259
18,155,0.000251878,0.001341484,0.004481749,,49.02618259
19,158,0.000251878,0.001341484,0.004481749,,49.02618259
20,159,0.000251878,0.001341484,0.004481749,,49.02618259
21,196,0.000988912,0.004710256,0.051709443,,
22,202,0.000988912,0.004710256,0.051709443,,
23,208,0.000988912,0.004710256,0.051709443,,
24,214,0.000988912,0.004710256,0.051709443,,
25,215,0.000988912,0.004710256,0.051709443,,
26,216,0.000988912,0.004710256,0.051709443,,
27,226,0.000988912,0.004710256,0.051709443,,
28,257,0.000988912,0.004710256,0.051709443,,
29,258,0.000988912,0.004710256,0.051709443,,
30,264,0.000988912,0.004710256,0.051709443,,
31,267,0.000988912,0.004710256,0.051709443,,
32,273,0.000988912,0.004710256,0.051709443,,
33,276,0.001491634,0.009034265,0.084925205,,
34,297,0.001491634,0.009034265,0.084925205,,
35,321,0.001491634,0.009034265,0.084925205,,
36,325,0.001491634,0.009034265,0.084925205,,
37,328,0.001491634,0.009034265,0.084925205,,
38,329,0.001491634,0.009034265,0.084925205,,
39,337,0.001491634,0.009034265,0.084925205,,
40,338,0.001491634,0.009034265,0.084925205,,
41,359,0.001491634,0.009034265,0.084925205,,
42,363,0.001491634,0.009034265,0.084925205,,Yearly increase
43,370,0.0009282,0.00551918,0.044448314,,1.053997703
44,372,0.0009282,0.00551918,0.044448314,,
45,375,0.0009282,0.00551918,0.044448314,,
46,376,0.0009282,0.00551918,0.044448314,,
47,407,0.0009282,0.00551918,0.044448314,,
48,428,0.0009282,0.00551918,0.044448314,,
49,444,0.0009282,0.00551918,0.044448314,,
50,455,0.0009282,0.00551918,0.044448314,,
51,462,0.000277392,0.001527576,0.005150187,,
52,464,0.000277392,0.001527576,0.005150187,,
53,507,0.000277392,0.001527576,0.005150187,,
54,509,0.000277392,0.001527576,0.005150187,,
55,510,0.000277392,0.001527576,0.005150187,,
56,524,0.000277392,0.001527576,0.005150187,,
57,530,0.000277392,0.001527576,0.005150187,,
58,531,0.000277392,0.001527576,0.005150187,,
59,534,0.000277392,0.001527576,0.005150187,,
60,554,0.000945355,0.004595715,0.051653864,,
61,555,0.000945355,0.004595715,0.051653864,,
62,573,0.000945355,0.004595715,0.051653864,,
63,574,0.000945355,0.004595715,0.051653864,,
64,585,0.000945355,0.004595715,0.051653864,,
65,586,0.000945355,0.004595715,0.051653864,,
66,588,0.000945355,0.004595715,0.051653864,,
67,626,0.000945355,0.004595715,0.051653864,,
68,627,0.000945355,0.004595715,0.051653864,,
69,629,0.000945355,0.004595715,0.051653864,,
70,632,0.000945355,0.004595715,0.051653864,,
71,644,0.001442916,0.008916649,0.084753275,,
72,653,0.001442916,0.008916649,0.084753275,,
73,654,0.001442916,0.008916649,0.084753275,,
74,680,0.001442916,0.008916649,0.084753275,,
75,693,0.001442916,0.008916649,0.084753275,,
76,713,0.001442916,0.008916649,0.084753275,,
77,715,0.001442916,0.008916649,0.084753275,,
78,728,0.001442916,0.008916649,0.084753275,,
79,749,0.000996827,0.005842496,0.044464246,,
80,760,0.000996827,0.005842496,0.044464246,,
81,772,0.000996827,0.005842496,0.044464246,,
82,825,0.000295876,0.001677796,0.005804521,,
83,837,0.000295876,0.001677796,0.005804521,,
84,867,0.000295876,0.001677796,0.005804521,,
85,884,0.000295876,0.001677796,0.005804521,,
86,967,0.001098349,0.005448545,0.051926086,,
87,984,0.001098349,0.005448545,0.051926086,,
88,1010,0.001769936,0.009767104,0.085634722,,
89,1013,0.001769936,0.009767104,0.085634722,,
90,1014,0.001769936,0.009767104,0.085634722,,
91,1042,0.001769936,0.009767104,0.085634722,,
92,1047,0.001769936,0.009767104,0.085634722,,
93,1061,0.001769936,0.009767104,0.085634722,,
94,1120,0.001520314,0.00889074,0.047568947,,
95,1141,0.001520314,0.00889074,0.047568947,,
96,1148,0.001520314,0.00889074,0.047568947,,
97,1158,0.001520314,0.00889074,0.047568947,,
98,1176,0.001520314,0.00889074,0.047568947,,
99,1202,0.000527115,0.003855413,0.014995734,,
100,1230,0.000527115,0.003855413,0.014995734,,
101,1242,0.000527115,0.003855413,0.014995734,,
102,1334,0.001363867,0.006829639,0.052166642,,
103,1340,0.001363867,0.006829639,0.052166642,,
104,1377,0.002142669,0.011186974,0.086085704,,
105,1389,0.002142669,0.011186974,0.086085704,,
106,1414,0.002142669,0.011186974,0.086085704,,
107,1450,0.002142669,0.011186974,0.086085704,,
108,1523,0.001712677,0.01057379,0.049132932,,
109,1526,0.001712677,0.01057379,0.049132932,,
110,1537,0.001712677,0.01057379,0.049132932,,
111,1541,0.001712677,0.01057379,0.049132932,,
112,1551,0.001712677,0.01057379,0.049132932,,
113,1564,0.000674905,0.005142051,0.021333462,,
114,1592,0.000674905,0.005142051,0.021333462,,
115,1667,0.001607752,0.009145636,0.053932634,,
116,1721,0.001607752,0.009145636,0.053932634,,
117,1755,0.002765183,0.014114714,0.087407478,,
118,1760,0.002765183,0.014114714,0.087407478,,
119,1806,0.002765183,0.014114714,0.087407478,,
120,1823,0.002765183,0.014114714,0.087407478,,
121,1841,0.001626588,0.009856926,0.048481037,,
122,1848,0.001626588,0.009856926,0.048481037,,
