,agemid,low95,median,up95,,Prop made up by C
1,37,0.00137905,0.008838372,0.084581345,,7.441171395
2,41,0.00137905,0.008838372,0.084581345,,7.441171395
3,53,0.00137905,0.008838372,0.084581345,,7.441171395
4,57,0.00137905,0.008838372,0.084581345,,7.441171395
5,59,0.00137905,0.008838372,0.084581345,,7.441171395
6,82,0.00137905,0.008838372,0.084581345,,7.441171395
7,85,0.00137905,0.008838372,0.084581345,,7.441171395
8,94,0.000878729,0.005236425,0.044430925,,12.55968284
9,97,0.000878729,0.005236425,0.044430925,,12.55968284
10,100,0.000878729,0.005236425,0.044430925,,12.55968284
11,102,0.000878729,0.005236425,0.044430925,,12.55968284
12,106,0.000878729,0.005236425,0.044430925,,12.55968284
13,110,0.000878729,0.005236425,0.044430925,,12.55968284
14,137,0.000878729,0.005236425,0.044430925,,12.55968284
15,140,0.000878729,0.005236425,0.044430925,,12.55968284
16,142,0.000878729,0.005236425,0.044430925,,12.55968284
17,150,0.000878729,0.005236425,0.044430925,,12.55968284
18,155,0.000878729,0.005236425,0.044430925,,12.55968284
19,158,0.000878729,0.005236425,0.044430925,,12.55968284
20,159,0.000878729,0.005236425,0.044430925,,12.55968284
21,196,0.000251878,0.001341484,0.004481749,,
22,202,0.000251878,0.001341484,0.004481749,,
23,208,0.000251878,0.001341484,0.004481749,,
24,214,0.000251878,0.001341484,0.004481749,,
25,215,0.000251878,0.001341484,0.004481749,,
26,216,0.000251878,0.001341484,0.004481749,,
27,226,0.000251878,0.001341484,0.004481749,,
28,257,0.000251878,0.001341484,0.004481749,,
29,258,0.000251878,0.001341484,0.004481749,,
30,264,0.000251878,0.001341484,0.004481749,,
31,267,0.000251878,0.001341484,0.004481749,,
32,273,0.000251878,0.001341484,0.004481749,,
33,276,0.000900211,0.004488063,0.051598284,,
34,297,0.000900211,0.004488063,0.051598284,,
35,321,0.000900211,0.004488063,0.051598284,,
36,325,0.000900211,0.004488063,0.051598284,,
37,328,0.000900211,0.004488063,0.051598284,,
38,329,0.000900211,0.004488063,0.051598284,,
39,337,0.000900211,0.004488063,0.051598284,,
40,338,0.000900211,0.004488063,0.051598284,,
41,359,0.000900211,0.004488063,0.051598284,,
42,363,0.000900211,0.004488063,0.051598284,,
43,370,0.00137905,0.008838372,0.084581345,,
44,372,0.00137905,0.008838372,0.084581345,,
45,375,0.00137905,0.008838372,0.084581345,,
46,376,0.00137905,0.008838372,0.084581345,,
47,407,0.00137905,0.008838372,0.084581345,,
48,428,0.00137905,0.008838372,0.084581345,,
49,444,0.00137905,0.008838372,0.084581345,,
50,455,0.00137905,0.008838372,0.084581345,,
51,462,0.000878729,0.005236425,0.044430925,,
52,464,0.000878729,0.005236425,0.044430925,,
53,507,0.000878729,0.005236425,0.044430925,,
54,509,0.000878729,0.005236425,0.044430925,,
55,510,0.000878729,0.005236425,0.044430925,,
56,524,0.000878729,0.005236425,0.044430925,,
57,530,0.000878729,0.005236425,0.044430925,,
58,531,0.000878729,0.005236425,0.044430925,,
59,534,0.000878729,0.005236425,0.044430925,,
60,554,0.000266642,0.001438584,0.004825784,,
61,555,0.000266642,0.001438584,0.004825784,,
62,573,0.000266642,0.001438584,0.004825784,,
63,574,0.000266642,0.001438584,0.004825784,,
64,585,0.000266642,0.001438584,0.004825784,,
65,586,0.000266642,0.001438584,0.004825784,,
66,588,0.000266642,0.001438584,0.004825784,,
67,626,0.000266642,0.001438584,0.004825784,,
68,627,0.000266642,0.001438584,0.004825784,,
69,629,0.000266642,0.001438584,0.004825784,,
70,632,0.000266642,0.001438584,0.004825784,,
71,644,0.000945355,0.004595715,0.051653864,,
72,653,0.000945355,0.004595715,0.051653864,,
73,654,0.000945355,0.004595715,0.051653864,,
74,680,0.000945355,0.004595715,0.051653864,,
75,693,0.000945355,0.004595715,0.051653864,,
76,713,0.000945355,0.004595715,0.051653864,,
77,715,0.000945355,0.004595715,0.051653864,,
78,728,0.000945355,0.004595715,0.051653864,,
79,749,0.001655874,0.009233558,0.085269065,,
80,760,0.001655874,0.009233558,0.085269065,,
81,772,0.001655874,0.009233558,0.085269065,,
82,825,0.000996827,0.005842496,0.044464246,,
83,837,0.000996827,0.005842496,0.044464246,,
84,867,0.000996827,0.005842496,0.044464246,,
85,884,0.000996827,0.005842496,0.044464246,,
86,967,0.000295876,0.001677796,0.005804521,,
87,984,0.000295876,0.001677796,0.005804521,,
88,1010,0.001062269,0.004966209,0.051819345,,
89,1013,0.001062269,0.004966209,0.051819345,,
90,1014,0.001062269,0.004966209,0.051819345,,
91,1042,0.001062269,0.004966209,0.051819345,,
92,1047,0.001062269,0.004966209,0.051819345,,
93,1061,0.001062269,0.004966209,0.051819345,,
94,1120,0.001741812,0.009656007,0.085593928,,
95,1141,0.001741812,0.009656007,0.085593928,,
96,1148,0.001741812,0.009656007,0.085593928,,
97,1158,0.001741812,0.009656007,0.085593928,,
98,1176,0.001741812,0.009656007,0.085593928,,
99,1202,0.001045081,0.00618782,0.04460783,,
100,1230,0.001045081,0.00618782,0.04460783,,
101,1242,0.001045081,0.00618782,0.04460783,,
102,1334,0.000389891,0.00248265,0.008687859,,
103,1340,0.000389891,0.00248265,0.008687859,,
104,1377,0.001262383,0.006243233,0.051949942,,
105,1389,0.001262383,0.006243233,0.051949942,,
106,1414,0.001262383,0.006243233,0.051949942,,
107,1450,0.001262383,0.006243233,0.051949942,,
108,1523,0.002570679,0.013014978,0.086609109,,
109,1526,0.002570679,0.013014978,0.086609109,,
110,1537,0.002570679,0.013014978,0.086609109,,
111,1541,0.002570679,0.013014978,0.086609109,,
112,1551,0.002570679,0.013014978,0.086609109,,
113,1564,0.001541372,0.009062133,0.047726525,,
114,1592,0.001541372,0.009062133,0.047726525,,
115,1667,0.000620716,0.004783672,0.019693478,,
116,1721,0.000620716,0.004783672,0.019693478,,
117,1755,0.001648424,0.009376501,0.054229589,,
118,1760,0.001648424,0.009376501,0.054229589,,
119,1806,0.001648424,0.009376501,0.054229589,,
120,1823,0.001648424,0.009376501,0.054229589,,
121,1841,0.002838303,0.014413517,0.087524432,,
122,1848,0.002838303,0.014413517,0.087524432,,
