,agemid,low95,median,up95,,,low95,median,up95,
1,42,0.000110163,0.002925694,0.031962841,,,1.005016931,26.69110722,291.5970002,(% over the entire season)
2,47,0.000110163,0.002925694,0.031962841,,,0.335005683,8.897035454,97.19899948,(% per month)
3,53,0.000110163,0.002925694,0.031962841,,,0.0110163,0.2925694,3.1962841,(% per day)
4,59,0.000110163,0.002925694,0.031962841,,,,,,
5,85,0.000110163,0.002925694,0.031962841,,,,,,
6,96,0.000110163,0.002925694,0.031962841,,,,,,
7,98,0.000110163,0.002925694,0.031962841,,,,,,
8,110,0.000110163,0.002925694,0.031962841,,,,,,
9,141,0.000110163,0.002925694,0.031962841,,,,,,
10,146,0.000110163,0.002925694,0.031962841,,,,,,
11,158,0.000110163,0.002925694,0.031962841,,,,,,
12,159,0.000110163,0.002925694,0.031962841,,,,,,
13,206,0.000110163,0.002925694,0.031962841,,,,,,
14,214,0.000110163,0.002925694,0.031962841,,,,,,
15,216,0.000110163,0.002925694,0.031962841,,,,,,
16,224,0.000110163,0.002925694,0.031962841,,,,,,
17,257,0.000110163,0.002925694,0.031962841,,,,,,
18,266,0.000110163,0.002925694,0.031962841,,,,,,
19,271,0.000110163,0.002925694,0.031962841,,,,,,
20,276,0.000110163,0.002925694,0.031962841,,,,,,
21,330,0.000110163,0.002925694,0.031962841,,,,,,
22,336,0.000110163,0.002925694,0.031962841,,,,,,
23,340,0.000110163,0.002925694,0.031962841,,,,,,
24,343,0.000110163,0.002925694,0.031962841,,,,,,
25,375,0.000110163,0.002925694,0.031962841,,,,,,
26,379,0.000110163,0.002925694,0.031962841,,,,,,
27,385,0.000110163,0.002925694,0.031962841,,,,,,
28,432,0.000110163,0.002925694,0.031962841,,,,,,
29,453,0.000110163,0.002925694,0.031962841,,,,,,
30,460,0.000110163,0.002925694,0.031962841,,,,,,
31,464,0.000110163,0.002925694,0.031962841,,,,,,
32,510,0.000110163,0.002925694,0.031962841,,,,,,
33,516,0.000110163,0.002925694,0.031962841,,,,,,
34,531,0.000110163,0.002925694,0.031962841,,,,,,
35,534,0.000110163,0.002925694,0.031962841,,,,,,
36,571,0.000110163,0.002925694,0.031962841,,,,,,
37,586,0.000110163,0.002925694,0.031962841,,,,,,
38,588,0.000110163,0.002925694,0.031962841,,,,,,
39,629,0.000110163,0.002925694,0.031962841,,,,,,
40,631,0.000110163,0.002925694,0.031962841,,,,,,
41,647,0.000110163,0.002925694,0.031962841,,,,,,
42,690,0.000110163,0.002925694,0.031962841,,,,,,
43,693,0.000110163,0.002925694,0.031962841,,,,,,
44,706,0.000110163,0.002925694,0.031962841,,,,,,
45,722,0.000110163,0.002925694,0.031962841,,,,,,
46,770,0.000110163,0.002925694,0.031962841,,,,,,
47,780,0.000110163,0.002925694,0.031962841,,,,,,
48,850,0.000110163,0.002925694,0.031962841,,,,,,
49,857,0.000110163,0.002925694,0.031962841,,,,,,
50,980,0.000110163,0.002925694,0.031962841,,,,,,
51,997,0.000110163,0.002925694,0.031962841,,,,,,
52,1014,0.000110163,0.002925694,0.031962841,,,,,,
53,1052,0.000110163,0.002925694,0.031962841,,,,,,
54,1134,0.000110163,0.002925694,0.031962841,,,,,,
55,1176,0.000110163,0.002925694,0.031962841,,,,,,
56,1188,0.000110163,0.002925694,0.031962841,,,,,,
57,1226,0.000110163,0.002925694,0.031962841,,,,,,
58,1348,0.000110163,0.002925694,0.031962841,,,,,,
59,1356,0.000110163,0.002925694,0.031962841,,,,,,
60,1377,0.000110163,0.002925694,0.031962841,,,,,,
61,1389,0.000110163,0.002925694,0.031962841,,,,,,
62,1519,0.000110163,0.002925694,0.031962841,,,,,,
63,1526,0.000110163,0.002925694,0.031962841,,,,,,
64,1564,0.000110163,0.002925694,0.031962841,,,,,,
65,1592,0.000110163,0.002925694,0.031962841,,,,,,
66,1676,0.000110163,0.002925694,0.031962841,,,,,,
67,1721,0.000110163,0.002925694,0.031962841,,,,,,
68,1755,0.000110163,0.002925694,0.031962841,,,,,,
69,1807,0.000110163,0.002925694,0.031962841,,,,,,
70,1833,0.000110163,0.002925694,0.031962841,,,,,,
71,1841,0.000110163,0.002925694,0.031962841,,,,,,
72,1848,0.000110163,0.002925694,0.031962841,,,,,,
